Site,Site2,Transect,Quadrat,Litbag,Lit,LitNum,Teabag,Tea,TeaNum,Julday1,Julday2,Julday3,Temp1,Temp2,Temp3,Moist1,Moist2,Moist3,VolMoist1,VolMoist2,VolMoist3,SOM,percNsoil,percCsoil,NOxinit,NH4init,Nitrif,Nmin,WHC,pH,TpH,Cmin1,Cmin2,Cmin,SIR,LitSIR,IncTime,TeaLoss,LitLoss,STeaLoss,SLitLoss,LitMoist,mLitMoist,LitlCloss,SLitCloss,LitNmin,SLitNmin,LitInitCN,LitFinCN,LitinitN,TeainitN
Umea,1,3,17,17,Hol,1,353,Green,1,125,170,216,5.5,11.7,15.5,44.23,39.92,41.9,NA,NA,NA,5.88,0.2,2.95,1.78,9.1,1.364,-0.621,56.79,5.86,1.38,0.47,0.56,0.52,0.96,134.82,91,55.94,36.25,55.32,35.85,73.7,43.8,44.5,44.01,0.647,0.651,24.65,20.92,1.77,3.95
Umea,1,3,18,18,Hol,1,354,Green,1,125,170,216,5.7,12.1,15.4,38.52,38.69,38.84,NA,NA,NA,4.29,0.15,2.35,1.25,2.51,0.835,-0.165,50.21,5.64,2.291,0.28,0.36,0.32,0.75,191.3,91,61.48,36.51,60.81,36.11,28.1,21.7,38.8,38.37,0.675,0.679,24.65,22.12,1.8,3.99
Umea,1,3,19,19,Hol,1,355,Green,1,125,170,216,5.2,11.4,14.4,39.31,36.5,38.13,NA,NA,NA,4.61,0.13,2.06,1.59,2.68,1,-0.115,55.66,5.75,1.778,0.26,0.29,0.27,0.74,184.94,91,52.05,46.07,51.47,45.56,61.2,50.6,48.4,47.86,0.612,0.616,24.65,20.57,1.73,4.2
Umea,1,3,20,20,Hol,1,356,Green,1,125,170,216,5.1,11.6,14.3,41.05,36.05,38.43,NA,NA,NA,4.68,0.16,2.31,2.17,8.61,0.908,-0.6,49.77,5.93,1.175,0.28,0.32,0.3,0.75,201.04,91,63.64,28.71,62.94,28.4,26.9,24.2,32.37,32.01,0.753,0.756,24.65,21.91,2,4.31
Umea,1,3,21,21,Hol,1,357,Green,1,125,170,216,5,11.1,15.1,38.94,34.76,36.28,NA,NA,NA,4.58,0.14,2.13,3.68,1.28,0.608,-0.066,46.67,5.66,2.188,0.27,0.32,0.29,1,159.7,91,59.57,31.03,58.92,30.68,53.3,39.8,35.23,34.85,0.854,0.856,24.65,18.49,1.68,4.22
Umea,1,4,22,22,Hol,1,358,Green,1,125,170,216,5.5,12.4,15,41.16,38.23,39.08,NA,NA,NA,4.92,0.17,2.47,2.67,3.73,1.059,-0.256,53.08,5.67,2.138,0.33,0.39,0.36,0.88,233.3,91,57.76,32.98,57.12,32.62,17,18,34.84,34.46,0.661,0.664,24.65,24.06,1.88,4.2
Umea,1,4,23,23,Hol,1,359,Green,1,125,170,216,5.6,11.8,14.4,46.15,38.81,37.95,NA,NA,NA,4.4,0.15,2.34,2.1,3.34,1,-0.113,50.15,5.76,1.738,0.26,0.3,0.28,0.77,238.19,91,58.9,30.05,58.25,29.72,23.5,22.7,32.03,31.68,0.829,0.831,24.65,19.99,1.6,4.22
Umea,1,4,24,24,Hol,1,360,Green,1,125,170,216,5.2,11.2,14.5,41.81,36.16,42.43,NA,NA,NA,4.99,0.12,1.88,3.38,2.98,1.385,-0.186,53.6,5.82,1.514,0.28,0.33,0.3,1.03,206.98,91,60.25,36.33,59.59,35.93,44.7,40.3,39.42,38.98,0.648,0.652,24.65,22.8,1.69,4.18
Umea,1,4,25,25,Hol,1,361,Green,1,125,170,216,5.3,11.7,14.6,40.99,37.34,39.25,NA,NA,NA,4.69,0.15,2.19,1.44,0.86,0.554,-0.053,50.42,5.83,1.479,0.27,0.31,0.29,0.87,165.77,91,55.2,38.64,54.6,38.21,50.5,31.2,42.01,41.55,0.75,0.753,24.65,18.86,2.06,4.01
Umea,1,4,26,26,Hol,1,362,Green,1,125,170,216,5.2,12,15.3,40.36,36.43,38.36,NA,NA,NA,4.99,0.15,2.29,4.23,3.41,0.665,-0.241,46.73,5.64,2.291,0.32,0.31,0.31,0.94,185.15,91,56.2,27.75,55.58,27.44,15.2,20.5,30.94,30.6,0.714,0.718,24.65,23.58,1.72,3.92
Umea,1,4,27,27,Hol,1,363,Green,1,125,170,216,5.2,11.9,14.3,43.38,39.99,39.76,NA,NA,NA,5.51,0.18,2.7,3.38,6.09,1.435,-0.331,48.18,5.67,2.138,0.29,0.33,0.31,0.77,196.42,91,57.59,29.78,56.96,29.45,14.2,14.5,33.57,33.2,0.766,0.768,24.65,21.16,1.8,4.32
Umea,1,4,28,28,Hol,1,364,Green,1,125,170,216,5.2,11.5,15.1,35.23,36.59,36.85,NA,NA,NA,3.69,0.14,2.11,0.73,7.99,1.027,-0.516,42.3,5.61,2.455,0.27,0.29,0.28,0.75,186.96,91,59.27,34.7,58.62,34.32,57.1,33.8,39.45,39.02,0.72,0.723,24.65,20.52,1.71,4.21
Uppsala,2,5,29,29,Hol,1,365,Green,1,128,174,226,11.7,14,14.8,25.2,22.03,18.17,NA,NA,NA,3.89,0.12,1.68,0.51,1,-0.025,-0.071,45.08,6.44,0.363,0.22,0.21,0.21,1.95,235.21,98,65.86,40.5,60.49,37.2,14,17.2,42.68,39.2,0.759,0.779,24.65,18.42,2.02,3.84
Uppsala,2,5,30,30,Hol,1,366,Green,1,128,174,226,10.9,13.4,13.5,26.14,27.48,22.96,NA,NA,NA,5.26,0.23,3.07,3.41,0.54,-0.089,-0.028,50.67,6.41,0.389,NA,NA,NA,1.62,162.66,98,64.22,49.04,58.97,45.04,50.5,36.9,51.41,47.21,0.599,0.632,24.65,19.79,1.7,3.95
Uppsala,2,5,31,31,Hol,1,367,Green,1,128,174,226,10.4,13.3,14.1,28.85,27.21,20.07,NA,NA,NA,5.74,0.24,2.8,12.31,1.87,0.152,-0.123,53.53,6.24,0.575,0.31,0.34,0.32,1.37,132.83,98,67.76,48.78,62.23,44.8,21.7,25.3,50.79,46.64,0.586,0.62,24.65,20.48,1.63,4.12
Uppsala,2,5,32,32,Hol,1,368,Green,1,128,174,226,10.2,13.5,14.8,29.09,26.35,18.18,NA,NA,NA,6.25,0.22,2.88,0.07,0,0,0,47.29,6.16,0.692,NA,NA,NA,1.62,159.09,98,67.44,41.51,61.94,38.12,23.8,16.9,43.89,40.31,0.611,0.643,24.65,22.39,1.75,4.01
Uppsala,2,5,33,33,Hol,1,369,Green,1,128,174,226,10.4,13.7,14.3,31.02,25.08,20.25,NA,NA,NA,7.07,0.2,2.42,1.55,0.16,0.075,-0.008,60.27,6.37,0.427,NA,NA,NA,1.62,118.86,98,62.05,37.78,56.99,34.69,19,15,46.09,42.33,0.674,0.701,24.65,19.5,1.81,4
Uppsala,2,5,34,34,Hol,1,370,Green,1,128,174,226,12.2,13.8,14.7,34.51,26.67,24.19,NA,NA,NA,6.24,0.23,2.67,12.27,0.38,0.177,-0.011,60.02,6.24,0.575,0.32,0.35,0.33,1.7,195.94,98,64.06,50.24,58.83,46.14,33.4,23.9,52.95,48.62,0.594,0.627,24.65,19.33,1.57,3.87
Uppsala,2,5,35,35,Hol,1,371,Green,1,128,174,226,10.2,13,15,29.98,29.72,22.55,NA,NA,NA,6.78,0.28,3.39,15.58,3.23,0.754,-0.209,61.82,6.07,0.851,0.29,0.31,0.3,1.48,169.76,98,61.25,48.12,56.25,44.19,32.6,28.9,48.86,44.87,0.594,0.627,24.65,21,1.86,3.97
Uppsala,2,6,36,36,Hol,1,372,Green,1,128,174,226,9.5,14.3,16.1,41.56,30.1,20.58,NA,NA,NA,9.4,0.49,6.3,14.65,6.93,0.724,-0.319,85.37,6.43,0.372,0.6,0.63,0.61,1.82,153.81,98,56.96,38.27,52.31,35.14,16.9,16,40.12,36.84,0.584,0.618,24.65,25,1.58,4.05
Uppsala,2,6,37,37,Hol,1,373,Green,1,128,174,226,10.6,16.5,20,37.08,34.98,16.83,NA,NA,NA,10.56,0.32,4.56,13.49,4.79,0.671,-0.085,NA,6.53,0.295,NA,NA,NA,1.82,209.99,98,58.78,41.57,53.98,38.17,11.9,14.7,43.81,40.24,0.562,0.597,24.65,24.41,1.74,3.78
Uppsala,2,6,38,38,Hol,1,374,Green,1,128,174,226,12.1,16.8,16.6,42.15,43.61,30.8,NA,NA,NA,10.4,0.31,4.14,3.08,2.02,0.024,-0.041,66.84,7.15,0.071,NA,NA,NA,1.82,154.44,98,NA,54.53,NA,50.07,34.2,24,57.24,52.57,0.519,0.558,24.65,20.09,1.81,4.03
Uppsala,2,6,39,39,Hol,1,375,Green,1,128,174,226,9.8,16.1,15.2,49.13,45.14,41.3,NA,NA,NA,8.93,0.43,5.44,9.79,1.9,-0.686,-0.078,72.43,6.39,0.407,NA,NA,NA,1.82,NA,98,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,24.65,NA,1.6,3.8
Uppsala,2,6,40,40,Hol,1,376,Green,1,128,174,226,9.8,15.6,14.2,62.04,57.93,53.62,NA,NA,NA,11.5,0.46,6.48,5.63,2.82,NA,NA,86.37,6.6,0.251,NA,NA,NA,1.82,174.87,98,NA,51.29,NA,47.11,73.2,61.8,54.06,49.65,0.656,0.684,24.65,17.07,1.77,3.92
