Site,Site2,Transect,Quadrat,Litbag,Lit,LitNum,Teabag,Tea,TeaNum,Julday1,Julday2,Julday3,Temp1,Temp2,Temp3,Moist1,Moist2,Moist3,VolMoist1,VolMoist2,VolMoist3,SOM,percNsoil,percCsoil,NOxinit,NH4init,Nitrif,Nmin,WHC,pH,TpH,Cmin1,Cmin2,Cmin,SIR,LitSIR,IncTime,TeaLoss,LitLoss,STeaLoss,SLitLoss,LitMoist,mLitMoist,LitlCloss,SLitCloss,LitNmin,SLitNmin,LitInitCN,LitFinCN,LitinitN,TeainitN
Copenhag,3,10,66,66,Hol,1,402,Green,1,136,171,237,12.6,19.8,17.1,27.82,23.02,19.57,NA,NA,NA,4.29,0.37,3.93,32.37,2.58,0.021,-0.144,37.4,7.5,0.032,0.18,0.21,0.2,0.93,144.01,101,65.17,27.48,58.07,24.48,71.8,73.1,32.41,28.88,0.796,0.818,24.65,20.72,2.06,3.93
Copenhag,3,10,67,67,Hol,1,403,Green,1,136,171,237,13.7,19.7,17.1,23.07,21.02,22.83,NA,NA,NA,5.44,0.32,3.46,22.94,1.09,0.073,-0.038,54.62,7.4,0.04,0.28,0.3,0.29,1.25,125.22,101,65.87,42.92,58.69,38.24,78.4,77.5,47.22,42.08,0.79,0.813,24.65,16.3,1.96,4.29
Copenhag,3,10,68,68,Hol,1,404,Green,1,136,171,237,12.8,19.3,16.8,26.56,25.35,22.48,NA,NA,NA,6.04,0.45,4.77,40.08,1.06,0.474,-0.02,55.94,6.78,0.166,NA,NA,NA,1.2,128.73,101,55.75,28.65,49.68,25.53,62.5,66.8,33.33,29.7,0.947,0.953,24.65,17.17,1.84,3.89
Copenhag,3,10,69,69,Hol,1,405,Green,1,136,171,237,13.1,18.4,16.4,28.69,26.64,23.11,NA,NA,NA,5.56,0.45,4.73,35.03,0.77,0.684,0.01,57.76,6.24,0.575,0.35,0.35,0.35,1.54,101.43,101,62.01,49.93,55.26,44.5,86.6,83.2,52.51,46.79,0.684,0.719,24.65,16.93,1.97,4.23
Copenhag,3,10,70,70,Hol,1,406,Green,1,136,171,237,12.1,18.2,16,22.54,22.84,19.23,NA,NA,NA,4.71,0.53,5.33,27.72,0.77,0.568,-0.02,45.63,6.16,0.692,0.27,0.28,0.27,1.22,NA,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.65,NA,1.56,4.11
Copenhag,3,11,71,71,Hol,1,407,Green,1,136,171,237,11.9,21.3,18.2,22.72,19.42,16.87,NA,NA,NA,5.03,0.34,3.74,28.24,0.91,0.749,-0.013,49.01,6.18,0.661,0.29,0.33,0.31,1.28,162.34,101,NA,16.65,NA,14.84,23.4,39.3,19.64,17.5,0.957,0.961,24.65,20.49,1.94,4.06
Copenhag,3,11,72,72,Hol,1,408,Green,1,136,171,237,11.9,20.3,17.8,22.56,20.92,19.53,NA,NA,NA,4.52,0.44,4.67,16.36,0.87,0.413,-0.031,49.82,6.36,0.437,0.26,0.27,0.27,1.19,103.3,101,NA,28.43,NA,25.33,69.3,74.6,38.81,34.58,0.954,0.959,24.65,15.64,1.67,4
Copenhag,3,11,73,73,Hol,1,409,Green,1,136,171,237,12.2,18.8,17.3,26.25,20.43,20.96,NA,NA,NA,5.79,0.31,3.51,27.32,1,0.572,-0.039,52.34,6.1,0.794,0.31,0.34,0.33,1.48,112.23,101,58.25,32.24,51.91,28.73,67.6,66.9,34.29,30.55,0.839,0.856,24.65,19.11,1.74,3.94
Copenhag,3,11,74,74,Hol,1,410,Green,1,136,171,237,12.1,NA,17.2,24.15,NA,19.32,NA,NA,NA,5.66,0.3,3.33,16.81,0.91,0.691,-0.014,37.64,6.47,0.339,0.28,0.28,0.28,1.75,NA,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.65,NA,1.88,4.24
Copenhag,3,11,75,75,Hol,1,411,Green,1,136,171,237,11.5,18.3,16.9,28.43,23.62,23.04,NA,NA,NA,5.85,0.25,2.77,35.16,1.3,-0.596,-0.03,52.7,6.19,0.646,0.33,0.35,0.34,1.58,NA,101,NA,NA,NA,NA,NA,58.6,NA,NA,NA,NA,24.65,NA,1.75,3.85
Copenhag,3,11,76,76,Hol,1,412,Green,1,136,171,237,11.1,NA,17.1,29.72,NA,21.62,NA,NA,NA,6.05,0.24,2.55,17.58,0.88,2.45,-0.011,53.95,6.41,0.389,0.32,0.34,0.33,1.51,NA,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.65,NA,1.66,4.13
Copenhag,3,11,77,77,Hol,1,413,Green,1,136,171,237,12.2,19.3,16.9,37.24,27.15,22.62,NA,NA,NA,6.6,0.22,2.35,59.94,2.94,1.038,-0.158,55.55,6.38,0.417,0.42,0.43,0.42,1.69,119.42,101,NA,36.48,NA,32.51,68.4,68.4,40.56,36.14,0.84,0.857,24.65,17.26,1.57,4.08
Copenhag,3,12,78,78,Hol,1,414,Green,1,136,171,237,11.9,19.8,17.3,20.87,19.84,17.06,NA,NA,NA,4.68,0.25,2.77,23.86,1.17,0.9,-0.018,46.65,6.1,0.794,0.28,0.29,0.28,1.37,NA,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.65,NA,1.64,4.23
Copenhag,3,12,79,79,Hol,1,415,Green,1,136,171,237,11.8,19.8,18.2,22.58,18.47,19.75,NA,NA,NA,4.75,0.25,2.86,26.8,1.25,0.724,-0.052,50.74,6.12,0.759,0.3,0.3,0.3,1.41,NA,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.65,NA,1.68,4.19
Copenhag,3,12,80,80,Hol,1,416,Green,1,136,171,237,11.7,20.8,17.3,24.09,19.64,16.1,NA,NA,NA,4.61,0.44,4.73,19.55,1.2,0.623,-0.054,38.04,6.07,0.851,0.24,0.23,0.23,1.4,NA,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.65,NA,1.8,3.94
Copenhag,3,12,81,81,Hol,1,417,Green,1,136,171,237,11.6,19.7,17.3,23.85,21.07,19.53,NA,NA,NA,5.23,0.49,5.38,22.71,1.1,0.484,-0.045,57.58,6.26,0.55,0.32,0.32,0.32,1.28,NA,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.65,NA,1.74,4.15
Copenhag,3,12,82,82,Hol,1,418,Green,1,136,171,237,11.9,20.7,17.3,22.66,23.6,18.94,NA,NA,NA,5.6,0.44,4.79,19.45,1.28,0.53,-0.064,61.73,6.18,0.661,0.26,0.25,0.26,1.21,NA,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.65,NA,1.56,3.89
Copenhag,3,12,83,83,Hol,1,419,Green,1,136,171,237,12,20.2,16.7,24.51,21.67,18.5,NA,NA,NA,6.34,0.25,2.86,24.09,0.86,0.666,-0.03,55.6,6.16,0.692,0.27,0.28,0.28,1.33,NA,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.65,NA,1.63,3.96
Copenhag,3,12,84,84,Hol,1,420,Green,1,136,171,237,12,20.4,16.8,24.48,23.14,22.98,NA,NA,NA,5.42,0.47,4.92,17.65,0.76,0.525,-0.02,54.46,6.44,0.363,0.23,0.23,0.23,1.38,101.09,101,60.06,35.9,53.52,31.99,67.7,73.2,39.4,35.11,0.88,0.893,24.65,16.8,1.83,3.99
Rennes,5,13,85,85,Hol,1,421,Green,1,128,166,215,13.9,17.6,17.8,23.83,18.43,11.22,NA,NA,NA,3.94,0.17,1.53,10.94,0.27,0.568,0.02,41.73,6.27,0.537,0.26,0.26,0.26,1.51,119.86,87,68.02,27.39,70.36,28.34,9.6,8,30.87,31.93,0.772,0.764,24.65,21.84,1.87,4.14
Rennes,5,13,86,86,Hol,1,422,Green,1,128,166,215,14,17,17.7,25.76,19.94,10.74,NA,NA,NA,3.78,0.19,1.66,28.7,0.47,1.096,0.002,39.71,6.36,0.437,0.28,0.29,0.28,1.55,139.75,87,53.62,31.65,55.47,32.74,14.3,10.9,35.43,36.65,0.873,0.869,24.65,18.04,1.57,4.19
Rennes,5,13,87,87,Hol,1,423,Green,1,128,166,215,13.9,17.1,17.8,23.76,19.26,8.71,NA,NA,NA,3.76,0.19,1.6,13.07,0.24,0.515,0.016,54.93,6.21,0.617,0.12,0.24,0.18,1.36,146.13,87,53.59,21.5,55.44,22.24,10,8.7,25.17,26.04,0.923,0.92,24.65,19.78,1.65,4.17
Rennes,5,13,88,88,Hol,1,424,Green,1,128,166,215,14,17.4,18.6,55.09,17.12,8.91,NA,NA,NA,5.21,0.17,1.52,21.78,0.37,0.844,0.006,49.61,6.25,0.562,0.26,0.27,0.26,1.59,203.98,87,54.49,37.35,56.37,38.64,14.2,10.6,38.77,40.11,0.726,0.717,24.65,20.57,1.77,4.27
Rennes,5,13,89,89,Hol,1,425,Green,1,128,166,215,13.9,17.3,18.1,26.54,20.08,10.44,NA,NA,NA,3.94,0.19,1.64,13.96,0.21,0.348,0.005,45.61,6.31,0.49,0.21,0.21,0.21,1.37,171.95,87,50.65,25.4,52.4,26.27,10.9,9.2,27.1,28.03,0.844,0.838,24.65,21.08,1.85,3.87
Rennes,5,13,90,90,Hol,1,426,Green,1,128,166,215,13.9,17.4,18.4,25.65,20.6,10.49,NA,NA,NA,3.61,0.17,1.55,13.84,0.43,0.739,0.008,58.07,6.29,0.513,0.25,0.25,0.25,1.29,171.68,87,52.59,30.74,54.41,31.8,12.3,9.5,33.26,34.41,0.916,0.913,24.65,17.78,1.65,4.1
Rennes,5,13,91,91,Hol,1,427,Green,1,128,166,215,14,17,18.7,29.34,18.2,10.83,NA,NA,NA,4.23,0.22,2.05,30.19,0.49,0.603,0.042,56.48,6.38,0.417,0.23,0.25,0.24,1.47,191.15,87,61.38,25.66,63.5,26.54,11.3,8.7,27.95,28.91,0.765,0.757,24.65,22.96,1.72,4.24
Rennes,5,14,92,92,Hol,1,428,Green,1,128,166,215,14.5,18,19.2,32.57,19.3,9.44,NA,NA,NA,4.48,0.24,2.46,26.36,1.9,0.702,-0.094,47.94,5.76,1.738,0.32,0.34,0.33,1.47,196.63,87,58.57,26.91,60.59,27.83,10.5,8,33.71,34.87,0.822,0.816,24.65,19.66,1.82,4.22
Rennes,5,14,93,93,Hol,1,429,Green,1,128,166,215,14.4,17.5,19.1,29.78,22.7,10.21,NA,NA,NA,4.68,0.21,2.19,14,2.23,0.606,-0.129,47.43,5.77,1.698,0.31,0.34,0.32,1.37,122.81,87,60.18,34.48,62.25,35.67,12.3,10.3,49.68,51.39,0.686,0.675,24.65,17.9,1.78,4.1
Rennes,5,14,94,94,Hol,1,430,Green,1,128,166,215,14.4,17.6,19,25.11,17.94,8.42,NA,NA,NA,3.47,0.17,1.58,29.51,0.35,0.674,0.005,39.77,5.68,2.089,0.18,0.19,0.19,1.31,195.82,87,51.01,28.95,52.77,29.95,12.1,11.9,32.74,33.87,0.748,0.739,24.65,21.95,2.01,4.12
Rennes,5,14,95,95,Hol,1,431,Green,1,128,166,215,14.5,17.8,19.8,29.71,18.53,10.81,NA,NA,NA,4.58,0.22,2.23,38.06,0.7,0.26,0.006,44.46,5.92,1.202,0.34,0.36,0.35,1.74,212.25,87,57.28,28.92,59.26,29.92,12.1,9,32.08,33.19,0.84,0.834,24.65,19.73,1.75,4.05
Rennes,5,14,96,96,Hol,1,432,Green,1,128,166,215,14.5,17.4,19.5,29.14,21.22,11.57,NA,NA,NA,4.1,0.2,2.52,18.66,0.31,0.541,-0.001,43.51,5.96,1.096,0.26,0.28,0.27,1.46,188.92,87,51.02,28.53,52.78,29.51,8.8,8.6,36.4,37.66,0.672,0.66,24.65,23.1,1.83,3.85
Rennes,5,14,97,97,Hol,1,433,Green,1,128,166,215,14.5,17.9,19.7,26.78,17.97,11.03,NA,NA,NA,3.75,0.16,1.56,20.31,0.18,0.474,0.003,38.64,5.96,1.096,0.2,0.21,0.21,1.16,158.33,87,60.07,33.23,62.15,34.37,10.1,8.9,34.48,35.67,0.706,0.696,24.65,22.63,1.56,3.85
Rennes,5,14,98,98,Hol,1,434,Green,1,128,166,215,14.6,17.2,19.1,28.01,19.67,10.84,NA,NA,NA,3.53,0.17,1.58,30.01,0.2,0.47,0.001,42.93,6.01,0.977,0.22,0.22,0.22,1.36,208.7,87,61.65,26.28,63.77,27.19,9.8,9.4,35.41,36.63,0.813,0.806,24.65,19.38,1.92,4.16
Rennes,5,15,99,99,Hol,1,435,Green,1,128,166,215,12.3,14.2,15.5,60.19,39.04,24.78,NA,NA,NA,9.77,0.38,3.87,61.25,12.94,2.862,-0.719,80.7,5.2,6.31,0.61,0.66,0.63,1.6,147.97,87,NA,42.72,NA,44.2,33.1,23.2,44.41,45.94,0.777,0.769,24.65,17.46,1.68,4.22
Rennes,5,15,100,100,Hol,1,436,Green,1,128,166,215,12.1,14.1,15.6,49.7,41.36,24.55,NA,NA,NA,8.93,0.38,4.03,35.98,3.06,1.139,-0.134,81.03,5.33,4.677,0.54,0.58,0.56,1.9,218.67,87,61.91,35.51,64.04,36.73,12.4,10.5,38.33,39.65,0.798,0.791,24.65,18.85,1.83,4.23
Rennes,5,15,101,101,Hol,1,437,Green,1,128,166,215,12.2,14.2,15.6,52.71,36.28,25.11,NA,NA,NA,9.59,0.37,4,26.29,3.03,1.229,-0.144,87.08,5.45,3.548,0.62,0.65,0.64,1.76,174.78,87,62.71,34.95,64.87,36.16,22.9,41.3,36.69,37.96,0.783,0.776,24.65,19.72,2.04,4.02
Rennes,5,15,102,102,Hol,1,438,Green,1,128,166,215,12.5,14.5,15.7,51.55,41.32,24.1,NA,NA,NA,8.02,0.36,3.7,53.45,17.33,2.235,-0.644,72.65,5.15,7.079,0.44,0.48,0.46,1.4,156.57,87,56.5,40.18,58.45,41.57,11.2,9.1,42.31,43.77,0.771,0.763,24.65,18.26,2.05,3.99
Rennes,5,15,103,103,Hol,1,439,Green,1,128,166,215,12.3,14.7,15.8,58.97,37.53,18.55,NA,NA,NA,10.32,0.45,5.31,25.26,17.19,1.398,-0.271,83.3,5.35,4.467,0.58,0.65,0.62,1.59,182.06,87,63.87,43.29,66.07,44.78,14,10.9,44.53,46.06,0.817,0.81,24.65,16.57,1.97,4.34
Rennes,5,15,104,104,Hol,1,440,Green,1,128,166,215,12.4,14.8,16.4,50.44,31.13,12.85,NA,NA,NA,9.79,0.42,4.92,24.4,17.69,1.296,-0.686,76.43,5.34,4.571,0.56,0.61,0.58,1.72,163.63,87,58.93,29.2,60.97,30.21,11.4,9.2,31.29,32.37,0.725,0.715,24.65,23.12,1.65,3.86
Rennes,5,15,105,105,Hol,1,441,Green,1,128,166,215,12.2,14.5,15.8,52.38,30.81,22.64,NA,NA,NA,13.66,0.48,6.13,36.65,4.43,1.367,0.476,112.4,4.89,12.882,0.82,0.92,0.87,2.11,122.46,87,58.8,34.22,60.83,35.4,6.9,5.7,35.03,36.24,0.848,0.842,24.65,18.7,1.99,4
Rennes,5,16,106,106,Hol,1,442,Green,1,128,166,215,12.1,14.8,16,143.6,156.56,21.43,NA,NA,NA,15.49,0.58,7.74,0.37,107.65,0.112,-3.437,154.87,5.82,1.514,1.63,1.92,1.78,3.15,132.49,87,64.29,42.2,66.5,43.66,35.2,19.7,45.33,46.89,0.741,0.732,24.65,17.99,1.61,4.18
Rennes,5,16,107,107,Hol,1,443,Green,1,128,166,215,12.8,15.5,16.1,93.99,45.16,21.23,NA,NA,NA,12.96,0.47,5.99,4.83,17.11,-0.329,-1.083,118.31,5.62,2.399,1.25,1.35,1.3,2.45,225.23,87,53.95,33.18,55.81,34.32,12.8,26.2,34.57,35.77,0.763,0.755,24.65,20.91,1.75,3.88
Rennes,5,16,108,108,Hol,1,444,Green,1,128,166,215,13.1,15.7,16.3,86.93,35.29,23.34,NA,NA,NA,11.78,0.45,5.65,10.08,19.75,-0.574,-1.073,113.14,5.5,3.162,0.76,0.86,0.81,2.07,233.11,87,54.3,24.48,56.18,25.32,11,8.8,26.65,27.57,0.892,0.889,24.65,20.05,2.04,4.26
Rennes,5,16,109,109,Hol,1,445,Green,1,128,166,215,12.6,15.3,16.4,56.11,43.87,23.41,NA,NA,NA,9.65,0.43,4.87,22.47,4.07,1.026,-0.12,79.06,5.27,5.37,0.5,0.55,0.52,1.62,190.21,87,52.08,22.29,53.88,23.06,12.6,10.1,29.99,31.02,0.927,0.924,24.65,18.42,1.88,4.26
Rennes,5,16,110,110,Hol,1,446,Green,1,128,166,215,12.9,15.3,16.2,62.59,34.55,16.59,NA,NA,NA,10.96,0.4,5.49,23.96,30.23,1.079,-0.855,93.9,5.03,9.333,0.61,0.66,0.64,1.83,210.26,87,52.67,23.27,54.49,24.07,10,7.6,24.68,25.53,0.807,0.801,24.65,22.76,1.81,3.96
Rennes,5,16,111,111,Hol,1,447,Green,1,128,166,215,12.9,15.4,16.3,55.88,39.45,16.02,NA,NA,NA,8.45,0.37,4.37,10.23,11.54,0.563,-0.403,74.79,5.26,5.495,0.41,0.48,0.44,1.55,161.65,87,53.67,31.02,55.52,32.09,7.8,7,31.11,32.18,0.796,0.789,24.65,21.12,1.87,3.91
Rennes,5,16,112,112,Hol,1,448,Green,1,128,166,215,12.8,15.7,16.6,54.88,38.75,15.17,NA,NA,NA,9.07,0.41,4.81,0,0,3.007,0.088,69.72,5.48,3.311,0.39,0.47,0.43,1.63,174.43,87,55.97,21.68,57.9,22.42,10.1,8.4,25.35,26.23,0.771,0.763,24.65,23.61,1.76,4.31
Montpell,6,17,113,113,Hol,1,449,Green,1,129,174,219,22.5,24.9,26.5,29.83,15.97,14.38,NA,NA,NA,19.33,1,14.68,9.29,3,-0.053,-0.108,91.36,7.87,0.013,0.17,0.28,0.22,1.31,207.26,90,48.76,17.97,48.76,17.97,8.8,8.2,17.44,17.44,0.817,0.817,24.65,24.66,1.64,4.21
Montpell,6,17,114,114,Hol,1,450,Green,1,129,174,219,15.5,21,20.8,45.74,30.72,21.13,NA,NA,NA,18.16,0.71,9.97,23.43,3.22,-0.368,-0.115,85.62,7.75,0.018,0.24,0.37,0.3,1.49,211.66,90,42.99,18.64,42.99,18.64,9.2,9.8,17.78,17.78,0.879,0.879,24.65,22.82,1.68,3.9
Montpell,6,17,115,115,Hol,1,451,Green,1,129,174,219,23.4,25.4,27.2,27.27,15.18,13.52,NA,NA,NA,17.91,0.74,13.02,4.76,2.28,-0.313,0.157,168.65,7.88,0.013,0.17,0.27,0.22,1.47,237.91,90,49.26,18.26,49.26,18.26,7.8,7.1,21.48,21.48,0.768,0.768,24.65,24.94,2.02,3.82
Montpell,6,17,116,116,Hol,1,452,Green,1,129,174,219,17.5,20,23.2,36.29,25.12,19.73,NA,NA,NA,22.01,0.85,11.15,5.35,4.8,-0.294,-0.218,57.18,7.7,0.02,0.27,0.36,0.32,2.02,250.58,90,53.46,16.48,53.46,16.48,9.8,8.9,16.84,16.84,0.681,0.681,24.65,29.77,1.61,3.91
Montpell,6,17,117,117,Hol,1,453,Green,1,129,174,219,21.9,24.7,28.3,24.67,10.63,9.69,NA,NA,NA,13.43,0.66,13.15,12.57,1.76,0.019,-0.042,70.93,7.91,0.012,0.18,0.25,0.21,1.24,244.38,90,51.67,17.19,51.67,17.19,6,6.8,16.51,16.51,0.713,0.713,24.65,28.57,1.97,3.82
Montpell,6,17,118,118,Hol,1,454,Green,1,129,174,219,18.5,25.7,23.5,42.08,27.6,19.75,NA,NA,NA,18.35,0.81,8.64,13.15,2.92,-0.348,-0.089,82.66,7.65,0.022,0.19,0.31,0.25,1.58,197.52,90,55.2,18.44,55.2,18.44,4.2,5.8,16.06,16.06,0.587,0.587,24.65,34.86,2.06,3.95
Montpell,6,17,119,119,Hol,1,455,Green,1,129,174,219,15.8,21.7,22.6,43.21,33.38,25.2,NA,NA,NA,19.78,0.57,8.14,18.53,2.98,-0.333,-0.085,95.86,7.65,0.022,0.22,0.35,0.29,1.55,221.93,90,53.21,19.33,53.21,19.33,5,6.8,18.46,18.46,0.753,0.753,24.65,26.4,1.63,3.9
Montpell,6,18,120,120,Hol,1,456,Green,1,129,174,219,21,25.3,32,31.74,20.39,13.37,NA,NA,NA,13.31,0.4,6.3,37.95,86.79,4.309,-5.784,80.67,6.43,0.372,0.54,0.64,0.59,2.34,223.62,90,57.17,20.34,57.17,20.34,6.2,6.3,20.15,20.15,0.659,0.659,24.65,29.56,2.04,4.25
Montpell,6,18,121,121,Hol,1,457,Green,1,129,174,219,21.2,25.6,30,32.33,22.63,16.6,NA,NA,NA,16.25,0.88,7.57,1.41,7.98,0.041,-0.322,103.79,6.06,0.871,0.9,1.01,0.96,2.61,231.31,90,52.87,23.77,52.87,23.77,5.8,6.6,25.29,25.29,0.609,0.609,24.65,29.92,2.03,4.24
Montpell,6,18,122,122,Hol,1,458,Green,1,129,174,219,21,26.4,30,28.18,13.92,10.65,NA,NA,NA,13.61,0.53,5.48,8.37,10.4,1.944,-0.618,79.39,6.43,0.372,0.42,0.52,0.47,1.87,218.48,90,55.1,23.54,55.1,23.54,8.3,8.2,23.46,23.46,0.632,0.632,24.65,29.52,1.87,4.06
Montpell,6,18,123,123,Hol,1,459,Green,1,129,174,219,21.9,26.1,33.3,24.8,17.17,13.54,NA,NA,NA,12.09,0.45,5.7,5.83,3.27,-0.091,-0.12,83.14,6.64,0.229,0.51,0.6,0.56,1.76,185.36,90,53.35,24.95,53.35,24.95,8.3,7.9,24.7,24.7,0.692,0.692,24.65,26.52,1.98,4.03
Montpell,6,18,124,124,Hol,1,460,Green,1,129,174,219,20.9,26.2,29.5,40.65,22.06,18.61,NA,NA,NA,23.74,0.95,11.11,29.44,4.63,-1.104,0.064,135.74,6.41,0.389,0.89,1.02,0.95,2.77,204.11,90,50.68,17.01,50.68,17.01,7.3,7.4,16.37,16.37,0.56,0.56,24.65,36.41,1.67,4.14
Montpell,6,18,125,125,Hol,1,461,Green,1,129,174,219,20.8,26.3,28.9,35.02,22.6,14.63,NA,NA,NA,17.7,0.61,7.79,19.84,9.68,0.752,-0.535,102.46,6.37,0.427,0.54,0.66,0.6,2.14,186.04,90,48.01,19.59,48.01,19.59,4,6,18.9,18.9,0.778,0.778,24.65,25.42,1.69,3.8
Montpell,6,18,126,126,Hol,1,462,Green,1,129,174,219,21.3,26.4,33.4,26.49,19.58,12.4,NA,NA,NA,12.61,0.65,5.94,7.51,6.15,0.018,-0.276,86.73,6.34,0.457,0.7,0.83,0.76,1.92,197.18,90,53.59,13.98,53.59,13.98,8.7,8.4,21.55,21.55,0.736,0.736,24.65,26.01,1.79,3.82
Montpell,6,19,127,127,Hol,1,463,Green,1,129,174,219,21.4,28.4,32.1,17.24,9.48,10.55,NA,NA,NA,13.31,1.22,15.45,10.26,2.11,-0.008,-0.055,81.17,7.82,0.015,0.17,0.25,0.21,1.24,233.74,90,52.19,14.1,52.19,14.1,8.9,8,17.29,17.29,0.638,0.638,24.65,31.63,1.99,3.91
Montpell,6,19,128,128,Hol,1,464,Green,1,129,174,219,20.2,26.5,30,24.01,13.55,12.68,NA,NA,NA,12.9,0.73,11.01,4.4,2.69,-0.135,-0.068,79.55,7.85,0.014,0.2,0.33,0.27,1.2,225.12,90,51.33,14.41,51.33,14.41,8.1,8.1,14.66,14.66,0.742,0.742,24.65,28.07,1.93,4.26
Montpell,6,19,129,129,Hol,1,465,Green,1,129,174,219,21.6,30.3,34.5,14.35,14.03,8.99,NA,NA,NA,14.4,0.71,15.48,7.99,1.64,0.207,-0.028,73.04,7.88,0.013,0.2,0.3,0.25,1.17,267.47,90,50.38,16.3,50.38,16.3,6.3,7.2,14.62,14.62,0.796,0.796,24.65,26.17,1.71,4.03
Montpell,6,19,130,130,Hol,1,466,Green,1,129,174,219,21.6,28.3,30.7,21.34,11.67,9.3,NA,NA,NA,14.26,0.61,12.79,3.33,2.67,-0.148,-0.077,84.07,7.88,0.013,0.22,0.35,0.29,1.15,229.68,90,46.13,19.13,46.13,19.13,8,8.4,20.11,20.11,0.678,0.678,24.65,28.74,1.74,3.87
Montpell,6,19,131,131,Hol,1,467,Green,1,129,174,219,21.3,29.3,30.8,14.57,8.31,6.46,NA,NA,NA,13.55,0.5,13.28,5.43,1.92,0.019,-0.043,78.23,7.92,0.012,0.19,0.27,0.23,1.01,170.27,90,45.61,14.29,45.61,14.29,5.4,6,14.62,14.62,0.685,0.685,24.65,30.42,1.86,4.06
Montpell,6,19,132,132,Hol,1,468,Green,1,129,174,219,20.4,26.6,31,14.78,9.16,12.8,NA,NA,NA,12.78,0.5,15.12,8.9,1.56,0.319,-0.021,77.49,7.93,0.012,0.18,0.28,0.23,1.25,214.57,90,49.72,16.02,49.72,16.02,6.7,6.8,12.89,12.89,0.572,0.572,24.65,37.17,1.97,4.19
Montpell,6,19,133,133,Hol,1,469,Green,1,129,174,219,20,26,29.6,10.99,9.31,6.87,NA,NA,NA,10.99,0.63,15.71,10.11,1.87,0.36,-0.038,69.32,7.89,0.013,0.24,0.35,0.3,1.25,227.95,90,50.08,17.06,50.08,17.06,6.4,6.6,15.13,15.13,0.621,0.621,24.65,33.36,1.67,4.14
Montpell,6,20,134,134,Hol,1,470,Green,1,129,174,219,20.6,27.2,33.1,25.68,17.05,11.67,NA,NA,NA,15.45,0.7,7.8,32.47,4.69,0.994,-0.165,80.15,7.46,0.035,0.37,0.56,0.46,1.81,208.02,90,47.3,17.74,47.3,17.74,7.9,7.2,17.39,17.39,0.773,0.773,24.65,26.07,1.83,4.09
Montpell,6,20,135,135,Hol,1,471,Green,1,129,174,219,19.7,25,31.7,27.73,16.81,14.75,NA,NA,NA,15.97,0.66,7.5,29.77,3.87,0.915,-0.138,81.31,7.42,0.038,0.36,0.55,0.46,1.78,270.28,90,51.92,13.82,51.92,13.82,7.4,11.7,10.58,10.58,0.752,0.752,24.65,29.03,1.75,4.12
Montpell,6,20,136,136,Hol,1,472,Green,1,129,174,219,19.8,25.8,31.1,26.07,16.56,16.45,NA,NA,NA,15.1,0.66,7.3,31.37,4.92,0.058,-0.227,93.34,7.36,0.044,0.6,0.8,0.7,1.86,240.81,90,53.04,23.74,53.04,23.74,7.8,7.3,18.84,18.84,0.781,0.781,24.65,25.35,2.04,4.01
Montpell,6,20,137,137,Hol,1,473,Green,1,129,174,219,19.5,25,29.1,29.76,17.63,15.65,NA,NA,NA,14.37,0.55,6.79,22.69,3.62,0.149,-0.119,88.7,6.92,0.12,0.58,0.67,0.63,2.01,229.43,90,54.55,14.49,54.55,14.49,8.5,8.3,9.06,9.06,0.654,0.654,24.65,33.9,1.64,4.17
Montpell,6,20,138,138,Hol,1,474,Green,1,129,174,219,19.4,26.9,35.1,26.33,19.71,11.52,NA,NA,NA,14.09,0.61,6.78,17.91,3.44,0.387,-0.127,76.79,7.43,0.037,0.37,0.53,0.45,1.69,198.99,90,52.84,16.38,52.84,16.38,6.2,7.5,12.33,12.33,0.715,0.715,24.65,29.91,2.05,3.92
Montpell,6,20,139,139,Hol,1,475,Green,1,129,174,219,19.3,26.8,35.2,25.69,19,11.51,NA,NA,NA,16.24,0.58,6.59,17.48,2.38,0.432,-0.082,77.11,6.78,0.166,0.53,0.59,0.56,2.11,242.49,90,56.63,14.49,56.63,14.49,4.8,6.1,9.77,9.77,0.794,0.794,24.65,27.73,1.59,4.34
Montpell,6,20,140,140,Hol,1,476,Green,1,129,174,219,18.8,26.6,33.9,29.82,17.31,14.38,NA,NA,NA,14.65,0.64,7.06,31.57,2.91,1.019,-0.07,86.92,7.3,0.05,0.36,0.47,0.41,1.61,228.43,90,56.2,13.23,56.2,13.23,8.1,7.8,7.72,7.72,0.654,0.654,24.65,34.41,1.72,4.01
