id,file_id,name,tea_type,location_type,biome,latitude,longitude,start_weight_green,end_weight_green,start_weight_red,end_weight_red,weight_include,k,S,t,date_in,origin,source,comment,created_at
40,,QdT SF5,2,1,12,-30.0683,-71.0758,,0,,0,0,0.022513208,0.446151504,89,6/5/17,0,,Mediterranean woodland,10/12/23 9:43
41,,5WV,2,1,12,-30.0661,116.2176,,0,,0,0,0.006620857,0.595912356,98,8/4/17,0,,Mediterranean woodland,10/12/23 9:43
42,,6WV,2,1,12,-30.0565,116.2304,,0,,0,0,0.008870886,0.423269158,98,8/4/17,0,,Mediterranean woodland,10/12/23 9:43
43,,4WV,2,1,12,-29.9916,116.2427,,0,,0,0,0.003917789,0.477967993,100,8/3/17,0,,Mediterranean woodland,10/12/23 9:43
44,,3WV,2,1,12,-29.9913,116.224,,0,,0,0,0.005253652,0.448225501,101,8/2/17,0,,Mediterranean woodland,10/12/23 9:43
45,,2WV,2,1,12,-29.9605,116.1799,,0,,0,0,0.005830085,0.525487606,102,8/2/17,0,,Mediterranean woodland,10/12/23 9:43
46,,1WV,2,1,12,-29.9481,116.1931,,0,,0,0,0.002190542,0.602407843,103,8/1/17,0,,Mediterranean woodland,10/12/23 9:43
47,,7WV,2,1,12,-29.4706,116.2101,,0,,0,0,0.007772352,0.483096009,95,8/5/17,0,,Mediterranean woodland,10/12/23 9:43
48,,Wakkerstroom,2,1,10,-27.3554,30.1408,,0,,0,0,0.03877033,0.533709525,105,5/23/17,0,,Montane grasslands/shrubs,10/12/23 9:43
49,,Wakkerstroom,2,1,10,-27.3554,30.1408,,0,,0,0,0.00931384,0.075589688,88,9/5/17,0,,Montane grasslands/shrubs,10/12/23 9:43
50,,Klipriviersberg,2,1,10,-26.2895,28.011,,0,,0,0,0.021439764,0.682045928,91,6/5/17,0,,Montane grasslands/shrubs,10/12/23 9:43
51,,Klipriviersberg,2,1,10,-26.2895,28.011,,0,,0,0,0.009379495,0.084649182,87,9/4/17,0,,Montane grasslands/shrubs,10/12/23 9:43
